240,2.99989,6.99948,11.0015,1.21072
241,2.99989,6.99949,11.0015,1.19187
242,2.99989,6.99949,11.0015,1.17344
243,2.99989,6.9995,11.0015,1.15543
244,2.99989,6.9995,11.0016,1.13782
245,2.99989,6.99951,11.0016,1.12061
246,2.99989,6.99951,11.0016,1.10377
247,2.99989,6.99952,11.0016,1.08731
248,2.99989,6.99952,11.0016,1.07121
249,2.99989,6.99952,11.0016,1.05547
250,2.99989,6.99953,11.0016,1.04007
251,2.9999,6.99953,11.0016,1.02502
252,2.9999,6.99954,11.0016,1.01029
253,2.9999,6.99954,11.0017,0.995876
254,2.9999,6.99954,11.0017,0.981779
255,2.9999,6.99955,11.0017,0.967988
256,2.9999,6.99955,11.0017,0.954494
257,2.9999,6.99956,11.0017,0.941291
258,2.9999,6.99956,11.0017,0.928372
259,2.9999,6.99956,11.0017,0.915729
260,2.9999,6.99957,11.0017,0.903356
