0	-0.749343
-0.30103	-1.3343
-0.60206	-1.93623
-0.90309	-2.53849
-1.20412	-3.14061
-1.50515	-3.74269
-1.80618	-4.34475
-2.10721	-4.94681
-2.40824	-5.54887
-2.70927	-6.15093
-3.0103	-6.75299
-3.31133	-7.35506
-3.61236	-7.95712
-3.91339	-8.55904
-4.21442	-9.16153
-4.51545	-9.7534
-4.81648	-10.3977
-5.11751	-11.1381
-5.41854	-10.536
-5.71957	-10.235
-6.0206	-9.93399
-6.32163	-9.93399
-6.62266	-9.63296
-6.92369	-9.0309
-7.22472	-8.72987
-7.52575	-8.42884
-7.82678	-8.42884
-8.12781	-7.82678
-8.42884	-7.52575
-8.72987	-7.22472
-9.0309	-6.92369
-9.33193	-6.62266
-9.63296	-6.32163
-9.93399	-6.0206
-10.235	-5.71957
-10.536	-5.41854
-10.8371	-5.11751
-11.1381	-4.81648
-11.4391	-4.51545
-11.7402	-4.21442
